,Time,Temperature(¡C),A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8
0,0:00:00,37,32610,29004,34023,35898,29723,30721,32481,33480,30611,29999,560299456,33271,509856128,31750,400174976,34370,30359,32120,239466000,28856,204074848,35418,404908096,31137,34268,30630,117115760,29981,33135,31383,116344824,31984,36541,32751,58836244,34411,179010832,35686,68963496,30904,30873,31120,13557491,31634,11002368,31261,19637170,33764,29866,31369,31242,33890,33638,33511,35658,31872
1,0:05:00,37,36122,30113,32274,30980,29555,30954,28520,32479,34151,33403,533233088,33018,468928640,30442,387802304,34896,31208,30428,231856800,31854,200223872,33912,394316832,34424,34649,33389,122947264,28122,32346,32491,115353456,31567,31206,34008,55393480,31347,169805088,32120,64756692,33405,32338,30680,11754205,30172,12654520,32107,21893380,31189,33238,31442,34001,34256,33485,30037,30554,32849
2,0:10:01,37,34738,30747,32534,32005,31608,30557,31976,33272,37928,32648,530980000,33164,492555168,34055,383682432,27693,33530,33533,230792064,33421,199932032,31483,393342016,29542,30419,31865,121096152,37660,33532,27967,113684256,30278,34956,29777,54772528,30695,167444544,34467,64613768,30848,29379,30549,11821054,29773,7793355,33025,19843232,30677,32616,33780,30936,36752,29117,33912,30930,34684
3,0:15:01,37,31210,29175,27985,32528,31343,30947,32113,30932,35229,32254,499469984,36290,474785984,29773,385652064,32486,33018,32488,236792512,30036,205992816,29786,403069984,29136,34304,34583,111039624,34303,33659,32758,116559016,28580,33012,33516,58188408,34707,176631728,30043,67463832,28095,31305,32089,11785533,31576,4003076,36007,20354870,28964,31573,34426,32470,32729,32211,31950,32994,29481
4,0:20:02,37,34179,26746,30531,34314,30504,35473,28924,31923,31929,32865,486406368,34433,467459968,33763,389117568,32307,31669,31005,233457472,31678,204352384,29988,401068224,31296,31921,31284,103738400,31262,30088,33630,116212296,29552,32970,33088,58235244,31928,177001936,29713,68087400,31686,33084,31645,12368926,32959,3671121,31796,20833872,27460,32430,34521,29944,35566,30336,29286,30856,32294
5,0:25:02,37,34900,27039,31368,32149,30682,28177,29752,32378,31857,36220,458880448,33459,441277856,28833,373516832,30264,32780,35138,224420368,31732,197907568,33587,382288096,32802,30527,30280,107007064,33943,31451,30671,113339696,29592,30395,34205,55326660,30931,174670960,28969,65875384,33586,33671,28542,11410234,30387,3041039,30796,19564518,28936,31833,30125,29461,33273,33013,24067,30906,32883
6,0:30:03,37,34128,29818,27677,30181,30304,30557,27118,26312,30422,30038,478581568,32689,459354816,32672,380354336,33447,33597,30676,229475536,30699,198144304,30040,388672864,32691,32920,29366,101231208,30276,31467,30153,114403312,26168,34244,32785,57342708,28439,178929632,28448,67557688,30440,28805,33174,11366803,33183,3254216,28167,19812928,30396,30796,34091,32639,32904,32510,29468,35806,30393
7,0:35:04,37,32526,31929,32436,32159,28427,32138,28683,31329,32128,30557,467013184,33605,455229056,32001,371259264,30259,31337,29604,228843616,31874,197075728,29360,380555872,29231,30263,29612,100747296,32911,33444,31332,111621192,29849,29597,28663,57436092,32527,176631728,25770,66510648,34807,32232,33965,10154593,28529,2826057,33455,19987518,33297,31309,31441,31041,35951,33034,29712,37148,29317
8,0:40:04,37,34103,29638,30950,35600,26254,30915,29980,31706,33037,34262,472834560,33461,452526816,33715,371652864,27965,30644,29437,224344272,32255,195691520,29993,373739392,28665,27836,30914,105827720,35151,31161,31837,112702016,32081,34357,33824,57543524,31441,177136432,33057,67281240,29995,31145,29819,10603288,31957,2789774,31699,19900826,32613,33014,30216,33410,32344,32882,31009,36467,31545
9,0:45:05,37,30836,30515,29960,33024,32742,33669,28452,29651,34723,32479,453196352,30604,432683264,29125,355508192,28171,30457,31250,227031424,29929,197262880,26732,376058240,32618,29775,31128,104231624,29102,31112,31255,114048224,29628,32440,31778,58326852,30053,178628560,28196,66824392,28199,29359,29896,10667451,34575,2954146,28579,20451824,30824,34428,33368,32563,33628,34298,30557,31627,29091
